epoch,global_step,step_in_epoch,split,validation_index,loss,boundary_weight,loss_energy_optimized,loss_energy_consistency,loss_energy_bulk,loss_energy_boundary,loss_energy_boundary_x,loss_energy_boundary_y,learning_rate,optimizer_step_time_mean_ms,optimizer_step_time_p95_ms,optimizer_step_time_max_ms,optimizer_step_count,optimizer_basis_refresh_count,optimizer_peak_memory_mib,learning_rate_first,learning_rate_last,seed,K,hardware,tangent_response_mismatch_pre,tangent_response_mismatch_post,tangent_response_mismatch_ratio,tangent_gradient_rms,tangent_delta_rms,tangent_delta_max_abs,tangent_correction_rel_symmetric_pair,tangent_eta_cap_enabled,tangent_eta_star_mean,tangent_eta_applied_mean,tangent_eta_cap_fraction,tangent_line_search_numerator_mean,tangent_line_search_denominator_mean,tangent_subspace_dimension,tangent_coefficient_0_mean,tangent_coefficient_1_mean,tangent_direction_0_active_fraction,tangent_direction_1_active_fraction,tangent_second_direction_active_fraction,tangent_response_cost_k1_mean,tangent_response_cost_k2_mean,tangent_response_cost_k2_over_k1,tangent_response_orthogonality_max,tangent_coefficient_2_mean,tangent_direction_2_active_fraction,tangent_response_cost_k3_mean,tangent_response_cost_k3_over_k2,tangent_coefficient_3_mean,tangent_direction_3_active_fraction,tangent_response_cost_k4_mean,tangent_response_cost_k4_over_k3,tangent_coefficient_4_mean,tangent_direction_4_active_fraction,tangent_response_cost_k5_mean,tangent_response_cost_k5_over_k4,tangent_coefficient_5_mean,tangent_coefficient_6_mean,tangent_coefficient_7_mean,tangent_coefficient_8_mean,tangent_direction_5_active_fraction,tangent_direction_6_active_fraction,tangent_direction_7_active_fraction,tangent_direction_8_active_fraction,tangent_response_cost_k6_mean,tangent_response_cost_k6_over_k5,tangent_response_cost_k7_mean,tangent_response_cost_k7_over_k6,tangent_response_cost_k8_mean,tangent_response_cost_k8_over_k7,tangent_response_cost_k9_mean,tangent_response_cost_k9_over_k8,tangent_coefficient_9_mean,tangent_direction_9_active_fraction,tangent_response_cost_k10_mean,tangent_response_cost_k10_over_k9
17,408,24,val,17.0,0.0001536382238775,0.0,0.0001536382238775,0.0002854677538947,0.0001536382238775,0.0001318295300172,2.048979462787142e-05,0.0001113397353893,0.0019707663994947,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,408,24,train,,0.0001529386449616,0.0,0.0001529386449616,0.0002987721834801,0.0001529386449616,0.0001458335385185,2.212874989369372e-05,0.0001237047886248,0.0019707663994947,75.36806197216113,121.3229093700647,225.57541728019717,24.0,8.0,8767.83251953125,0.0019782367899719,0.0019707663994947,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,432,24,val,18.0,0.0001411489681837,0.0,0.0001411489681837,0.000271415763006,0.0001411489681837,0.0001302667948222,2.3388466877566346e-05,0.0001068783279447,0.0019618181516877,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,432,24,train,,0.0001420037597227,0.0,0.0001420037597227,0.0002782508959145,0.0001420037597227,0.0001362471361917,2.056617060035309e-05,0.0001156809655914,0.0019618181516877,73.59132543206215,125.3635749220848,125.4180371761322,24.0,8.0,8767.83251953125,0.001970416998707,0.0019618181516877,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,456,24,val,19.0,0.0001333861391249,0.0,0.0001333861391249,0.0002477346227643,0.0001333861391249,0.0001143484836394,1.836668645212388e-05,9.598179718734866e-05,0.0019517030883244,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,456,24,train,,0.0001311313461379,0.0,0.0001311313461379,0.000258308458924,0.0001311313461379,0.000127177112786,1.932440545109888e-05,0.0001078527073349,0.0019517030883244,69.20931736628215,106.37099668383598,106.46917670965196,24.0,8.0,8767.83251953125,0.0019614199058091,0.0019517030883244,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,480,24,val,20.0,0.0001277368275595,0.0,0.0001277368275595,0.0002524355433263,0.0001277368275595,0.0001246987157668,1.7276944160405066e-05,0.0001074217716064,0.001940433544469,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,480,24,train,,0.000125388982005,0.0,0.000125388982005,0.0002485786082632,0.000125388982005,0.0001231896262582,1.818821427817468e-05,0.00010500141198,0.001940433544469,79.82812914997339,148.95051643252373,149.12062883377075,24.0,8.0,8767.83251953125,0.0019512564830057,0.001940433544469,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,504,24,val,21.0,0.0001261089692181,0.0,0.0001261089692181,0.0002381617412323,0.0001261089692181,0.0001120527720141,1.631390290197235e-05,9.573886911222236e-05,0.0019280232630454,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,504,24,train,,0.0001255801594994,0.0,0.0001255801594994,0.0002517346757599,0.0001255801594994,0.0001261545162604,1.7543265650469875e-05,0.0001086112506099,0.0019280232630454,71.53714603434007,123.9192560315132,141.60656183958054,24.0,8.0,8767.83251953125,0.0019399391243341,0.0019280232630454,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
